SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2026-02-20,BENIN,GOVERNMENT,1712,171,17,-7.02479338842975,5,Benin,BENIN 1712 171 17 GOVERNMENT Benin
2025-06-03,BENIN,ABUJA,214,21,2,-3.10192023633678,2,Benin,BENIN 214 21 2 ABUJA Benin
2025-06-03,BENIN,ABUJA,214,21,2,-3.10192023633678,2,Benin,BENIN 214 21 2 ABUJA Benin
2025-07-05,BENIN,BENIN CITY,64,64,6,-7.36434108527136,4,Benin,BENIN 64 64 6 BENIN CITY Benin
2026-03-03,BENIN,,15,15,1,-4.73537604456825,4,Benin,BENIN 15 15 1 Benin
2026-03-02,BENIN,,15,15,1,-3.85674931129477,2,Benin,BENIN 15 15 1 Benin
2026-03-02,BENIN,NIGERIA,31,31,3,-2.01005025125628,2,Benin,BENIN 31 31 3 NIGERIA Benin
2026-03-02,BENIN,NIGERIA,31,31,3,-2.01005025125628,2,Benin,BENIN 31 31 3 NIGERIA Benin
2026-02-24,BENIN,GOVERNMENT,181,181,18,-5.56792873051225,3,Benin,BENIN 181 181 18 GOVERNMENT Benin
2026-03-03,BENIN,OPERATIVE,150,150,15,-4.73537604456825,2,Benin,BENIN 150 150 15 OPERATIVE Benin
2026-03-02,BENIN,NIGERIA,31,31,3,-2.01005025125628,2,Benin,BENIN 31 31 3 NIGERIA Benin
2025-12-14,BENIN,,1043,104,10,-3.6231884057971,5,Benin,BENIN 1043 104 10 Benin
2025-12-15,BENIN,ALASSANE OUATTARA,62,62,6,-2.7906976744186,10,Benin,BENIN 62 62 6 ALASSANE OUATTARA Benin
2025-12-15,BENIN,AFRICA,137,137,13,-5.54089709762533,5,Benin,BENIN 137 137 13 AFRICA Benin
2025-12-14,BENIN,ALASSANE OUATTARA,62,62,6,-2.10684725357412,10,Benin,BENIN 62 62 6 ALASSANE OUATTARA Benin
2025-12-14,BENIN,AFRICA,137,137,13,-6.42201834862385,10,Benin,BENIN 137 137 13 AFRICA Benin
2025-12-15,BENIN,AFRICA,137,137,13,-2.7906976744186,1,Benin,BENIN 137 137 13 AFRICA Benin
2026-01-06,BENIN,,22,22,2,-2.77777777777777,4,Benin,BENIN 22 22 2 Benin
2026-01-06,BENIN,BENIN,22,22,2,-2.77777777777777,1,Benin,BENIN 22 22 2 BENIN Benin
2026-01-06,BENIN,HOSPITAL,181,181,18,-6.875,2,Benin,BENIN 181 181 18 HOSPITAL Benin
2026-03-06,BENIN,EMBASSY,161,161,16,4.57102672292545,4,"Toffo, Benin (general), Benin","BENIN 161 161 16 EMBASSY Toffo, Benin (general), Benin"
2025-08-23,BENIN,NIGERIAN,1821,182,18,-3.77358490566037,10,Benin,BENIN 1821 182 18 NIGERIAN Benin
2025-05-18,BENIN,KINGDOM,27,27,2,2.8082191780822,2,Benin,BENIN 27 27 2 KINGDOM Benin
2025-02-06,BENIN,BENIN CITY,182,182,18,-6.26151012891345,2,Benin,BENIN 182 182 18 BENIN CITY Benin
2025-02-06,BENIN,POLICE,114,114,11,-6.3231850117096,4,Benin,BENIN 114 114 11 POLICE Benin
2025-02-06,GANIOU SOGLO,BENIN,18,18,1,-3.20512820512821,10,Benin,GANIOU SOGLO 18 18 1 BENIN Benin
2025-03-29,BENIN,POLICE,27,27,2,-8.18181818181818,2,Benin,BENIN 27 27 2 POLICE Benin
2025-03-28,BENIN,POLICE,27,27,2,-7.59075907590759,2,Benin,BENIN 27 27 2 POLICE Benin
2025-07-04,BENIN,,195,195,19,-2.5418833044483,6,Benin,BENIN 195 195 19 Benin
2025-03-23,BENIN,OPPOSITION PARTY,831,83,8,-3.97727272727273,10,"Djougou, Donga, Benin","BENIN 831 83 8 OPPOSITION PARTY Djougou, Donga, Benin"
2025-11-17,BENIN,JOURNALIST,26,26,2,-2.78330019880715,2,Benin,BENIN 26 26 2 JOURNALIST Benin
2025-11-17,BENIN,THE OPPOSITION,26,26,2,-2.78330019880715,2,Benin,BENIN 26 26 2 THE OPPOSITION Benin
2026-01-08,BENIN,,241,24,2,1.04166666666666,5,Benin,BENIN 241 24 2 Benin
2026-01-08,BENIN,AFRICA,241,24,2,1.04166666666666,5,Benin,BENIN 241 24 2 AFRICA Benin
2026-01-07,BENIN,CHANCELLOR,41,41,4,0.0,10,Benin,BENIN 41 41 4 CHANCELLOR Benin
2025-01-15,BENIN,,91,91,9,-5.65371024734982,3,Benin,BENIN 91 91 9 Benin
2025-08-15,BENIN,,35,35,3,6.40394088669951,3,"Ketu, Benin (general), Benin","BENIN 35 35 3 Ketu, Benin (general), Benin"
